チケットID,起票日時,顧客名,カテゴリ,優先度,件名,ステータス,初回応答時間(時間),解決までの時間(時間),担当
TCK-202635000,2026-08-27 18:59,アオイ物流,その他,P1,その他に関するお問い合わせ,対応中,6.1,,小川
TCK-202635001,2026-08-28 13:55,ミナト製作所,モバイル,P2,モバイルに関するお問い合わせ,解決済,3.9,5.0,渡辺
TCK-202635002,2026-08-25 08:32,ノースゲート商事,請求,P3,請求に関するお問い合わせ,解決済,5.9,21.3,中村
TCK-202635003,2026-08-30 09:18,フジノ精機,モバイル,P2,モバイルに関するお問い合わせ,対応中,5.5,,小川
TCK-202635004,2026-08-29 10:34,ミナト製作所,その他,P3,その他に関するお問い合わせ,対応中,4.2,,中村
TCK-202635005,2026-08-25 09:47,ゼニス金属,モバイル,P2,モバイルに関するお問い合わせ,対応中,5.1,,渡辺
TCK-202635006,2026-08-27 12:11,アオイ物流,その他,P2,その他に関するお問い合わせ,解決済,5.3,22.0,渡辺
TCK-202635007,2026-08-30 17:53,カワセミ電機,モバイル,P2,モバイルに関するお問い合わせ,顧客待ち,1.6,,小川
TCK-202635008,2026-08-29 08:36,ミナト製作所,モバイル,P3,モバイルに関するお問い合わせ,解決済,3.5,24.3,中村
TCK-202635009,2026-08-29 14:05,カワセミ電機,API連携,P2,API連携に関するお問い合わせ,対応中,6.6,,渡辺
TCK-202635010,2026-08-27 11:48,サクラフーズ,モバイル,P2,モバイルに関するお問い合わせ,解決済,1.7,11.5,渡辺
TCK-202635011,2026-08-24 14:56,フジノ精機,データ移行,P2,データ移行に関するお問い合わせ,対応中,9.2,,中村
TCK-202635012,2026-08-25 13:32,ブルーポート海運,レポート表示,P3,レポート表示に関するお問い合わせ,解決済,7.2,34.3,鈴木
TCK-202635013,2026-08-26 11:33,ノースゲート商事,モバイル,P3,モバイルに関するお問い合わせ,解決済,6.6,45.0,鈴木
TCK-202635014,2026-08-24 14:54,フジノ精機,API連携,P2,API連携に関するお問い合わせ,解決済,2.6,15.9,鈴木
TCK-202635015,2026-08-28 11:27,東雲テクノロジー,モバイル,P3,モバイルに関するお問い合わせ,解決済,6.0,7.7,鈴木
TCK-202635016,2026-08-28 09:45,サクラフーズ,モバイル,P2,モバイルに関するお問い合わせ,解決済,1.5,31.6,鈴木
TCK-202635017,2026-08-24 08:29,ブルーポート海運,請求,P3,請求に関するお問い合わせ,顧客待ち,6.2,,小川
TCK-202635018,2026-08-28 14:13,アオイ物流,その他,P3,その他に関するお問い合わせ,解決済,3.5,11.0,中村
TCK-202635019,2026-08-24 19:12,カワセミ電機,請求,P2,請求に関するお問い合わせ,顧客待ち,5.5,,中村
TCK-202635020,2026-08-24 09:07,東雲テクノロジー,請求,P2,請求に関するお問い合わせ,解決済,2.6,26.5,小川
TCK-202635021,2026-08-30 17:47,サクラフーズ,API連携,P3,API連携に関するお問い合わせ,対応中,6.1,,中村
TCK-202635022,2026-08-24 09:01,ゼニス金属,API連携,P3,API連携に関するお問い合わせ,顧客待ち,3.5,,中村
TCK-202635023,2026-08-28 11:23,東雲テクノロジー,モバイル,P3,モバイルに関するお問い合わせ,解決済,5.0,36.3,鈴木
TCK-202635024,2026-08-26 08:33,アオイ物流,ログイン/SSO,P3,ログイン/SSOに関するお問い合わせ,解決済,4.0,22.2,中村
TCK-202635025,2026-08-29 16:43,フジノ精機,レポート表示,P3,レポート表示に関するお問い合わせ,顧客待ち,4.8,,鈴木
TCK-202635026,2026-08-29 11:33,カワセミ電機,その他,P3,その他に関するお問い合わせ,解決済,4.8,12.2,小川
TCK-202635027,2026-08-25 11:50,ノースゲート商事,モバイル,P3,モバイルに関するお問い合わせ,解決済,7.5,41.8,小川
TCK-202635028,2026-08-30 17:53,ブルーポート海運,レポート表示,P3,レポート表示に関するお問い合わせ,顧客待ち,2.3,,鈴木
TCK-202635029,2026-08-24 16:11,ミナト製作所,データ移行,P3,データ移行に関するお問い合わせ,解決済,2.1,29.4,中村
TCK-202635030,2026-08-27 12:50,フジノ精機,データ移行,P3,データ移行に関するお問い合わせ,解決済,4.5,39.7,渡辺
TCK-202635031,2026-08-28 17:35,ノースゲート商事,請求,P2,請求に関するお問い合わせ,解決済,4.9,42.5,渡辺
TCK-202635032,2026-08-30 17:37,アオイ物流,請求,P3,請求に関するお問い合わせ,対応中,4.8,,小川
TCK-202635033,2026-08-25 13:40,東雲テクノロジー,ログイン/SSO,P3,ログイン/SSOに関するお問い合わせ,解決済,4.0,37.5,小川
TCK-202635034,2026-08-30 10:04,ノースゲート商事,API連携,P3,API連携に関するお問い合わせ,顧客待ち,6.5,,鈴木
TCK-202635035,2026-08-24 17:09,アオイ物流,ログイン/SSO,P3,ログイン/SSOに関するお問い合わせ,解決済,5.0,38.5,小川
TCK-202635036,2026-08-29 08:16,ゼニス金属,データ移行,P3,データ移行に関するお問い合わせ,対応中,4.4,,鈴木
TCK-202635037,2026-08-28 13:36,ゼニス金属,ログイン/SSO,P3,ログイン/SSOに関するお問い合わせ,対応中,6.1,,渡辺
TCK-202635038,2026-08-25 09:30,カワセミ電機,レポート表示,P3,レポート表示に関するお問い合わせ,顧客待ち,5.1,,小川
TCK-202635039,2026-08-25 18:03,九重ホールディングス,ログイン/SSO,P3,ログイン/SSOに関するお問い合わせ,対応中,1.0,,鈴木
TCK-202635040,2026-08-28 12:03,ゼニス金属,データ移行,P3,データ移行に関するお問い合わせ,顧客待ち,7.6,,鈴木
TCK-202635041,2026-08-27 10:04,ゼニス金属,データ移行,P2,データ移行に関するお問い合わせ,解決済,3.7,39.7,中村
TCK-202635042,2026-08-25 10:37,ミナト製作所,データ移行,P2,データ移行に関するお問い合わせ,解決済,5.7,32.9,渡辺
TCK-202635043,2026-08-28 09:05,サクラフーズ,請求,P3,請求に関するお問い合わせ,顧客待ち,5.7,,小川
TCK-202635044,2026-08-24 14:04,ブルーポート海運,その他,P2,その他に関するお問い合わせ,対応中,2.7,,中村
TCK-202635045,2026-08-27 13:18,ゼニス金属,モバイル,P3,モバイルに関するお問い合わせ,対応中,4.8,,鈴木
TCK-202635046,2026-08-27 12:31,ノースゲート商事,モバイル,P3,モバイルに関するお問い合わせ,対応中,5.3,,小川
TCK-202635047,2026-08-30 14:52,ゼニス金属,請求,P3,請求に関するお問い合わせ,対応中,7.6,,渡辺
TCK-202635048,2026-08-26 19:50,ミナト製作所,その他,P2,その他に関するお問い合わせ,顧客待ち,5.6,,鈴木
TCK-202635049,2026-08-28 11:32,九重ホールディングス,モバイル,P3,モバイルに関するお問い合わせ,解決済,4.4,43.0,鈴木
TCK-202635050,2026-08-29 16:31,アオイ物流,レポート表示,P3,レポート表示に関するお問い合わせ,解決済,5.2,7.9,中村
TCK-202635051,2026-08-29 19:07,フジノ精機,モバイル,P2,モバイルに関するお問い合わせ,顧客待ち,7.7,,渡辺
