案件ID,顧客名,金額(円),ステージ,前週ステージ,確度(%),営業担当,更新日,次アクション
OPP-202635000,ミナト製作所,7200000,提案,見積提示,40,山田 太郎,2026-08-24,次回打合せ設定
OPP-202635001,アオイ物流,2400000,最終交渉,見積提示,80,伊藤 さくら,2026-08-25,見積再提出
OPP-202635002,サクラフーズ,1200000,提案,課題ヒアリング,40,山田 太郎,2026-08-28,稟議待ち
OPP-202635003,トライアングル設計,1200000,最終交渉,最終交渉,80,山田 太郎,2026-08-25,―
OPP-202635004,ノースゲート商事,3600000,初回商談,見積提示,10,佐藤 花子,2026-08-25,セキュリティ質問票回答
OPP-202635005,ひかり調剤,1200000,受注,最終交渉,100,田中 健,2026-08-28,セキュリティ質問票回答
OPP-202635006,東雲テクノロジー,2400000,提案,提案,40,鈴木 一郎,2026-08-25,―
OPP-202635007,みらい教育出版,7200000,課題ヒアリング,最終交渉,20,伊藤 さくら,2026-08-24,見積再提出
OPP-202635008,カワセミ電機,2400000,受注,最終交渉,100,田中 健,2026-08-24,次回打合せ設定
OPP-202635009,ハルカゼ運輸,2400000,見積提示,初回商談,60,佐藤 花子,2026-08-29,―
OPP-202635010,セイリング化成,4800000,受注,見積提示,100,鈴木 一郎,2026-08-26,セキュリティ質問票回答
OPP-202635011,オリオン印刷,1200000,受注,提案,100,山田 太郎,2026-08-25,次回打合せ設定
OPP-202635012,ケヤキ総研,2400000,初回商談,初回商談,10,山田 太郎,2026-08-26,次回打合せ設定
OPP-202635013,フジノ精機,2400000,見積提示,提案,60,鈴木 一郎,2026-08-29,見積再提出
OPP-202635014,シリウス人材,2400000,初回商談,提案,10,鈴木 一郎,2026-08-24,―
OPP-202635015,ミナト製作所,12000000,提案,見積提示,40,鈴木 一郎,2026-08-24,―
OPP-202635016,アオイ物流,7200000,失注,最終交渉,0,佐藤 花子,2026-08-26,稟議待ち
OPP-202635017,サクラフーズ,12000000,課題ヒアリング,課題ヒアリング,20,佐藤 花子,2026-08-24,見積再提出
OPP-202635018,トライアングル設計,7200000,見積提示,提案,60,鈴木 一郎,2026-08-30,稟議待ち
OPP-202635019,ノースゲート商事,2400000,失注,提案,0,田中 健,2026-08-26,セキュリティ質問票回答
OPP-202635020,ひかり調剤,1200000,初回商談,課題ヒアリング,10,田中 健,2026-08-30,稟議待ち
